"도로명코드","도로명","도로명 로마자","읍면동일련번호","시도명","시도명 로마자","시군구명","시군구명 로마자","읍면동명","읍면동명 로마자","읍면동구분","읍면동코드","사용여부","변경사유","변경이력정보","고시일자","말소일자"
"111103100005","사직로","Sajik-ro","06","서울특별시","Seoul","종로구","Jongno-gu","교북동","Gyobuk-dong","1","180","0","","","",""
"111103100005","사직로","Sajik-ro","07","서울특별시","Seoul","종로구","Jongno-gu","행촌동","Haengchon-dong","1","181","0","","","",""
"111103100006","삼봉로","Sambong-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100006","삼봉로","Sambong-ro","01","서울특별시","Seoul","종로구","Jongno-gu","청진동","Cheongjin-dong","1","122","0","","","",""
"111103100006","삼봉로","Sambong-ro","02","서울특별시","Seoul","종로구","Jongno-gu","수송동","Susong-dong","1","124","0","","","",""
"111103100006","삼봉로","Sambong-ro","03","서울특별시","Seoul","종로구","Jongno-gu","공평동","Gongpyeong-dong","1","127","0","","","",""
"111103100006","삼봉로","Sambong-ro","04","서울특별시","Seoul","종로구","Jongno-gu","견지동","Gyeonji-dong","1","129","0","","","",""
"111103100007","삼청로","Samcheong-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100007","삼청로","Samcheong-ro","01","서울특별시","Seoul","종로구","Jongno-gu","세종로","Sejongno","1","119","0","","","",""
"111103100007","삼청로","Samcheong-ro","02","서울특별시","Seoul","종로구","Jongno-gu","팔판동","Palpan-dong","1","139","0","","","",""
"111103100007","삼청로","Samcheong-ro","03","서울특별시","Seoul","종로구","Jongno-gu","삼청동","Samcheong-dong","1","140","0","","","",""
"111103100007","삼청로","Samcheong-ro","04","서울특별시","Seoul","종로구","Jongno-gu","소격동","Sogyeok-dong","1","142","0","","","",""
"111103100007","삼청로","Samcheong-ro","05","서울특별시","Seoul","종로구","Jongno-gu","화동","Hwa-dong","1","143","0","","","",""
"111103100007","삼청로","Samcheong-ro","06","서울특별시","Seoul","종로구","Jongno-gu","사간동","Sagan-dong","1","144","0","","","",""
"111103100008","성균관로","Seonggyungwan-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100008","성균관로","Seonggyungwan-ro","01","서울특별시","Seoul","종로구","Jongno-gu","와룡동","Waryong-dong","1","130","0","","","",""
"111103100008","성균관로","Seonggyungwan-ro","02","서울특별시","Seoul","종로구","Jongno-gu","혜화동","Hyehwa-dong","1","169","0","","","",""
"111103100008","성균관로","Seonggyungwan-ro","03","서울특별시","Seoul","종로구","Jongno-gu","명륜1가","Myeongnyun 1(il)-ga","1","170","0","","","",""
"111103100008","성균관로","Seonggyungwan-ro","04","서울특별시","Seoul","종로구","Jongno-gu","명륜2가","Myeongnyun 2(i)-ga","1","171","0","","","",""
"111103100008","성균관로","Seonggyungwan-ro","05","서울특별시","Seoul","종로구","Jongno-gu","명륜3가","Myeongnyun 3(sam)-ga","1","173","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","01","서울특별시","Seoul","종로구","Jongno-gu","수송동","Susong-dong","1","124","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","02","서울특별시","Seoul","종로구","Jongno-gu","공평동","Gongpyeong-dong","1","127","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","03","서울특별시","Seoul","종로구","Jongno-gu","관훈동","Gwanhun-dong","1","128","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","04","서울특별시","Seoul","종로구","Jongno-gu","견지동","Gyeonji-dong","1","129","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","05","서울특별시","Seoul","종로구","Jongno-gu","관철동","Gwancheol-dong","1","135","0","","","",""
"111103100009","우정국로","Ujeongguk-ro","06","서울특별시","Seoul","종로구","Jongno-gu","서린동","Seorin-dong","1","123","0","","","",""
"111103100010","율곡로","Yulgok-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100010","율곡로","Yulgok-ro","01","서울특별시","Seoul","종로구","Jongno-gu","수송동","Susong-dong","1","124","0","","","",""
"111103100010","율곡로","Yulgok-ro","02","서울특별시","Seoul","종로구","Jongno-gu","중학동","Junghak-dong","1","125","0","","","",""
"111103100010","율곡로","Yulgok-ro","03","서울특별시","Seoul","종로구","Jongno-gu","관훈동","Gwanhun-dong","1","128","0","","","",""
"111103100010","율곡로","Yulgok-ro","04","서울특별시","Seoul","종로구","Jongno-gu","와룡동","Waryong-dong","1","130","0","","","",""
"111103100010","율곡로","Yulgok-ro","05","서울특별시","Seoul","종로구","Jongno-gu","권농동","Gwonnong-dong","1","131","0","","","",""
"111103100010","율곡로","Yulgok-ro","06","서울특별시","Seoul","종로구","Jongno-gu","운니동","Unni-dong","1","132","0","","","",""
"111103100010","율곡로","Yulgok-ro","07","서울특별시","Seoul","종로구","Jongno-gu","경운동","Gyeongun-dong","1","134","0","","","",""
"111103100010","율곡로","Yulgok-ro","08","서울특별시","Seoul","종로구","Jongno-gu","안국동","Anguk-dong","1","141","0","","","",""
"111103100010","율곡로","Yulgok-ro","09","서울특별시","Seoul","종로구","Jongno-gu","사간동","Sagan-dong","1","144","0","","","",""
"111103100010","율곡로","Yulgok-ro","10","서울특별시","Seoul","종로구","Jongno-gu","재동","Jae-dong","1","147","0","","","",""
"111103100010","율곡로","Yulgok-ro","11","서울특별시","Seoul","종로구","Jongno-gu","계동","Gye-dong","1","148","0","","","",""
"111103100010","율곡로","Yulgok-ro","12","서울특별시","Seoul","종로구","Jongno-gu","원서동","Wonseo-dong","1","149","0","","","",""
"111103100010","율곡로","Yulgok-ro","13","서울특별시","Seoul","종로구","Jongno-gu","원남동","Wonnam-dong","1","159","0","","","",""
"111103100010","율곡로","Yulgok-ro","14","서울특별시","Seoul","종로구","Jongno-gu","연지동","Yeonji-dong","1","160","0","","","",""
"111103100010","율곡로","Yulgok-ro","15","서울특별시","Seoul","종로구","Jongno-gu","종로6가","Jongno 6(yuk)-ga","1","164","0","","","",""
"111103100010","율곡로","Yulgok-ro","16","서울특별시","Seoul","종로구","Jongno-gu","이화동","Ihwa-dong","1","165","0","","","",""
"111103100010","율곡로","Yulgok-ro","17","서울특별시","Seoul","종로구","Jongno-gu","연건동","Yeongeon-dong","1","166","0","","","",""
"111103100010","율곡로","Yulgok-ro","18","서울특별시","Seoul","종로구","Jongno-gu","충신동","Chungsin-dong","1","167","0","","","",""
"111103100010","율곡로","Yulgok-ro","19","서울특별시","Seoul","종로구","Jongno-gu","창신동","Changsin-dong","1","174","0","","","",""
"111103100011","인왕산로","Inwangsan-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100011","인왕산로","Inwangsan-ro","01","서울특별시","Seoul","종로구","Jongno-gu","사직동","Sajik-dong","1","115","0","","","",""
"111103100011","인왕산로","Inwangsan-ro","02","서울특별시","Seoul","종로구","Jongno-gu","부암동","Buam-dong","1","184","0","","","",""
"111103100012","자하문로","Jahamun-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100012","자하문로","Jahamun-ro","01","서울특별시","Seoul","종로구","Jongno-gu","청운동","Cheongun-dong","1","101","0","","","",""
"111103100012","자하문로","Jahamun-ro","02","서울특별시","Seoul","종로구","Jongno-gu","신교동","Singyo-dong","1","102","0","","","",""
"111103100012","자하문로","Jahamun-ro","03","서울특별시","Seoul","종로구","Jongno-gu","궁정동","Gungjeong-dong","1","103","0","","","",""
"111103100012","자하문로","Jahamun-ro","04","서울특별시","Seoul","종로구","Jongno-gu","효자동","Hyoja-dong","1","104","0","","","",""
"111103100012","자하문로","Jahamun-ro","05","서울특별시","Seoul","종로구","Jongno-gu","창성동","Changseong-dong","1","105","0","","","",""
"111103100012","자하문로","Jahamun-ro","06","서울특별시","Seoul","종로구","Jongno-gu","통의동","Tongui-dong","1","106","0","","","",""
"111103100012","자하문로","Jahamun-ro","07","서울특별시","Seoul","종로구","Jongno-gu","적선동","Jeokseon-dong","1","107","0","","","",""
"111103100012","자하문로","Jahamun-ro","08","서울특별시","Seoul","종로구","Jongno-gu","통인동","Tongin-dong","1","108","0","","","",""
"111103100012","자하문로","Jahamun-ro","09","서울특별시","Seoul","종로구","Jongno-gu","옥인동","Ogin-dong","1","111","0","","","",""
"111103100012","자하문로","Jahamun-ro","10","서울특별시","Seoul","종로구","Jongno-gu","체부동","Chebu-dong","1","112","0","","","",""
"111103100012","자하문로","Jahamun-ro","11","서울특별시","Seoul","종로구","Jongno-gu","내자동","Naeja-dong","1","114","0","","","",""
"111103100012","자하문로","Jahamun-ro","12","서울특별시","Seoul","종로구","Jongno-gu","부암동","Buam-dong","1","184","0","","","",""
"111103100012","자하문로","Jahamun-ro","13","서울특별시","Seoul","종로구","Jongno-gu","홍지동","Hongji-dong","1","185","0","","","",""
"111103100013","종로","Jong-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103100013","종로","Jong-ro","01","서울특별시","Seoul","종로구","Jongno-gu","서린동","Seorin-dong","1","123","0","","","",""
"111103100013","종로","Jong-ro","02","서울특별시","Seoul","종로구","Jongno-gu","종로1가","Jongno 1(il)-ga","1","126","0","","","",""
"111103100013","종로","Jong-ro","03","서울특별시","Seoul","종로구","Jongno-gu","공평동","Gongpyeong-dong","1","127","0","","","",""
"111103100013","종로","Jong-ro","04","서울특별시","Seoul","종로구","Jongno-gu","관철동","Gwancheol-dong","1","135","0","","","",""
"111103100013","종로","Jong-ro","05","서울특별시","Seoul","종로구","Jongno-gu","인사동","Insa-dong","1","136","0","","","",""
"111103100013","종로","Jong-ro","06","서울특별시","Seoul","종로구","Jongno-gu","종로2가","Jongno 2(i)-ga","1","138","0","","","",""
"111103100013","종로","Jong-ro","07","서울특별시","Seoul","종로구","Jongno-gu","훈정동","Hunjeong-dong","1","150","0","","","",""
